Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Urban Areas,1,4855685.0,674875.0,812,1056,767,1256,-0.15852989577619309,-0.7125246548323472,-0.2377296408006581,-0.08650519031141868
Urban Areas,1,4855685.0,674885.0,1034,946,906,1248,-0.02159827213822894,0.08532423208191127,-0.032388663967611336,-0.13764813126709208
Urban Areas,1,4855685.0,674895.0,1120,946,955,1248,0.004734350341925302,-0.012726244343891403,0.007099658164606889,-0.13764813126709208
Urban Areas,1,4855685.0,674905.0,1289,1501,1192,2111,-0.11474192350538433,-1.4534336782690498,-0.1720809355856692,-0.1688815060908084
Urban Areas,1,4855685.0,674915.0,1847,1501,1551,2111,0.0163826998689384,-0.03794202458643193,0.02457002457002457,-0.1688815060908084
Urban Areas,1,4855685.0,674925.0,1260,1364,1272,3600,-0.03490136570561457,-32.857142857142854,-0.05234212023516025,-0.45044319097502017
Urban Areas,1,4855685.0,674935.0,568,1364,792,3600,-0.2653061224489796,-0.3031587873648505,-0.3978669139809877,-0.45044319097502017
Urban Areas,1,4855685.0,674945.0,474,929,607,3349,-0.20963541666666666,-0.3064331937571374,-0.3143507972665148,-0.565684899485741
Urban Areas,1,4855685.0,674955.0,402,929,506,3349,-0.29477351916376304,-0.3449119373776908,-0.44200626959247646,-0.565684899485741
Urban Areas,1,4855685.0,674965.0,400,830,500,3243,-0.24812030075187969,-0.33252720677146314,-0.37204058624577224,-0.5924380063835011
Urban Areas,1,4855685.0,674975.0,433,830,567,3243,-0.1882605583392985,-0.2858074331667029,-0.2822898032200358,-0.5924380063835011
Agricultural Areas,2,4855685.0,674985.0,333,961,517,3109,-0.3004059539918809,-0.2931467054007659,-0.4504565437943862,-0.5277641277641277
Urban Areas,1,4855685.0,674995.0,543,961,642,3109,-0.19900187149095447,-0.34132249090520006,-0.2984097287184284,-0.5277641277641277
Urban Areas,1,4855685.0,675005.0,766,1075,795,3430,-0.1497326203208556,-0.46635576282478347,-0.22453889334402566,-0.5227524972253053
Agricultural Areas,2,4855685.0,675015.0,460,1075,662,3430,-0.2377662636729994,-0.28187278187278186,-0.35654676258992807,-0.5227524972253053
Agricultural Areas,2,4855685.0,675025.0,507,1299,711,3972,-0.29253731343283584,-0.3125332199425959,-0.4386968415816961,-0.5071143995446784
Agricultural Areas,2,4855685.0,675035.0,609,1299,796,3972,-0.24009546539379475,-0.3125388343482043,-0.3600572655690766,-0.5071143995446784
Agricultural Areas,2,4855685.0,675045.0,606,1291,794,4212,-0.2383693045563549,-0.31093593593593594,-0.35746823303764086,-0.5308013810648737
Agricultural Areas,2,4855685.0,675055.0,481,1291,724,4212,-0.2813895781637717,-0.2914567698159761,-0.4219796576531878,-0.5308013810648737
Agricultural Areas,2,4855685.0,675065.0,446,1067,671,4683,-0.22784810126582278,-0.26548672566371684,-0.34167385677308026,-0.6288695652173913
Agricultural Areas,2,4855685.0,675075.0,408,1067,657,4683,-0.23781902552204176,-0.25625,-0.3566251087271673,-0.6288695652173913
Agricultural Areas,2,4855685.0,675085.0,346,931,631,4798,-0.19206145966709348,-0.20701076455975712,-0.288,-0.6749869087100716
Agricultural Areas,2,4855685.0,675095.0,346,931,597,4798,-0.21858638743455497,-0.23265533574811925,-0.3277723258096173,-0.6749869087100716
Agricultural Areas,2,4855685.0,675105.0,332,719,547,3436,-0.1358609794628752,-0.1812816188870152,-0.20371101460718516,-0.6539109506618532
Agricultural Areas,2,4855685.0,675115.0,281,719,416,3436,-0.2669603524229075,-0.2887364208118925,-0.4002642007926024,-0.6539109506618532
Agricultural Areas,2,4855685.0,675125.0,311,570,392,2441,-0.18503118503118504,-0.3005741303613644,-0.27740259740259743,-0.6213882431086017
Agricultural Areas,2,4855685.0,675135.0,314,570,409,2441,-0.1644535240040858,-0.27288135593220336,-0.24655436447166923,-0.6213882431086017
Agricultural Areas,2,4855685.0,675145.0,357,786,469,3373,-0.25258964143426293,-0.3159258521028503,-0.37873357228195936,-0.6220245251262323
Agricultural Areas,2,4855685.0,675155.0,397,786,553,3373,-0.1740104555638536,-0.25408942202835333,-0.2609182530795073,-0.6220245251262323
Agricultural Areas,2,4855685.0,675165.0,413,1023,625,4374,-0.24150485436893204,-0.2713759716350743,-0.362147406733394,-0.6209005002779322
Urban Areas,1,4855675.0,674535.0,374,1090,495,3338,-0.3753943217665615,-0.35157173245095724,-0.5629139072847682,-0.5076784101174345
Urban Areas,1,4855675.0,674545.0,631,1674,635,3136,-0.44997834560415767,-0.43673812526271544,-0.6748213899112362,-0.30395010395010397
Urban Areas,1,4855675.0,674555.0,1862,1674,1611,3136,-0.019178082191780823,0.0682113469034214,-0.0287627453964389,-0.30395010395010397
Urban Areas,1,4855675.0,674565.0,2779,2568,2271,3338,-0.06137631742095474,0.23478260869565218,-0.09205496435582189,-0.13037588892651542
Urban Areas,1,4855675.0,674575.0,2551,2568,2147,3338,-0.08928950159066808,0.6676181414525848,-0.13392005089598133,-0.13037588892651542
Urban Areas,1,4855675.0,674585.0,1620,1851,1341,2710,-0.15977443609022557,-4.278523489932886,-0.23962411902897415,-0.18833589125191844
Urban Areas,1,4855675.0,674595.0,1364,1851,1100,2710,-0.25449000338868183,-0.9496712190187152,-0.3816703371167203,-0.18833589125191844
Urban Areas,1,4855675.0,674605.0,1489,1346,1170,2090,-0.06995230524642289,0.22910700338453527,-0.10490760977548182,-0.21653084982537835
Urban Areas,1,4855675.0,674615.0,1423,1346,1066,2090,-0.11608623548922056,0.4576659038901602,-0.17409326424870467,-0.21653084982537835
Urban Areas,1,4855675.0,674625.0,1334,1354,1003,1644,-0.14891811624946966,1.000570125427594,-0.22332979851537646,-0.09673115410273515
Urban Areas,1,4855675.0,674635.0,1188,1354,837,1644,-0.23596531264262893,-24.85576923076923,-0.3538672142368241,-0.09673115410273515
Urban Areas,1,4855675.0,674645.0,1042,1066,689,1263,-0.21481481481481482,1.2928669410150893,-0.32213044716604955,-0.0845856590811507
Urban Areas,1,4855675.0,674655.0,995,1066,753,1263,-0.1720725673446949,2.504,-0.258037922506183,-0.0845856590811507
Urban Areas,1,4855675.0,674665.0,1027,1017,738,1094,-0.15897435897435896,0.8096343586767266,-0.23839362005126744,-0.0364756039791568
Urban Areas,1,4855675.0,674675.0,938,1017,797,1094,-0.12127894156560089,4.074074074074074,-0.1818682832736291,-0.0364756039791568
Urban Areas,1,4855675.0,674685.0,1396,1337,932,1793,-0.17849272807404143,0.6683168316831684,-0.2676801057501652,-0.14568690095846645
Urban Areas,1,4855675.0,674695.0,1539,1337,1044,1793,-0.12305753884922302,0.2958998182185417,-0.18454755406256562,-0.14568690095846645
Urban Areas,1,4855675.0,674705.0,1466,1345,1154,1740,-0.07643057222889156,0.269774011299435,-0.11462292458491698,-0.1280388978930308
Urban Areas,1,4855675.0,674715.0,1358,1345,1117,1740,-0.0926076360682372,0.571715145436309,-0.13888324873096447,-0.1280388978930308
Urban Areas,1,4855675.0,674725.0,1232,1162,996,1337,-0.07692307692307693,0.32651455546813535,-0.11535788742182071,-0.0700280112044818
Urban Areas,1,4855675.0,674735.0,1005,1162,810,1337,-0.17849898580121704,-3.584521384928717,-0.267680608365019,-0.0700280112044818
Urban Areas,1,4855675.0,674745.0,958,1108,742,1322,-0.19783783783783784,-4.441747572815534,-0.29667657389894625,-0.08806584362139917
Urban Areas,1,4855675.0,674755.0,1180,1108,1041,1322,-0.031177291763610983,0.14439655172413793,-0.04675505931612003,-0.08806584362139917
Urban Areas,1,4855675.0,674765.0,1257,1385,948,1727,-0.18731247321045863,6.483679525222552,-0.28090850653524746,-0.10989717223650386
Urban Areas,1,4855675.0,674775.0,1390,1385,1118,1727,-0.1066719936076708,0.6701807228915663,-0.15997603355302575,-0.10989717223650386
Urban Areas,1,4855675.0,674785.0,1470,1482,1340,2141,-0.050318922749822824,0.44823232323232326,-0.07546501328609388,-0.18189345845983992
Urban Areas,1,4855675.0,674795.0,1256,1482,1247,2141,-0.08611212898497618,-0.8159722222222222,-0.12914453196556147,-0.18189345845983992
Urban Areas,1,4855675.0,674805.0,906,1074,954,2498,-0.05917159763313609,-0.4966887417218543,-0.08873551885629775,-0.3986562150055991
Urban Areas,1,4855675.0,674815.0,794,1074,926,2498,-0.074,-0.2612994350282486,-0.11097225693576605,-0.3986562150055991
Urban Areas,1,4855675.0,674825.0,592,2234,424,3409,-0.6809631301730624,-0.48194695920758335,-1.021252586044762,-0.20822257664362928
Urban Areas,1,4855675.0,674835.0,2309,2234,2247,3409,0.002901138138808302,-0.019513659561693184,0.004351221689166573,-0.20822257664362928
Urban Areas,1,4855675.0,674845.0,2877,2424,2573,3460,0.029817890734440664,-0.08352954367081511,0.044722361180590295,-0.1760707002039429
Urban Areas,1,4855675.0,674855.0,2116,2424,1435,3460,-0.2562840114019176,-22.477272727272727,-0.3843762145355616,-0.1760707002039429
Urban Areas,1,4855675.0,674865.0,1883,1639,1478,2460,-0.05165222970805262,0.14326392596547427,-0.07746591820368885,-0.20029275433032448
Urban Areas,1,4855675.0,674875.0,1569,1639,1161,2460,-0.1707142857142857,1.5489306545690213,-0.2560257096946974,-0.20029275433032448
Urban Areas,1,4855675.0,674885.0,1352,1487,1178,2395,-0.11594746716697936,19.807692307692307,-0.1738885762521103,-0.23390005151983514
Urban Areas,1,4855675.0,674895.0,1391,1487,1316,2395,-0.06100606493043168,2.2093023255813953,-0.09149277688603531,-0.23390005151983514
Urban Areas,1,4855675.0,674905.0,1566,1759,1313,3127,-0.14518229166666666,-9.065040650406504,-0.2177379983726607,-0.27998362668849774
Urban Areas,1,4855675.0,674915.0,2386,1759,2079,3127,0.08337675872850443,-0.1520623455616803,0.1250488472059398,-0.27998362668849774
Urban Areas,1,4855675.0,674925.0,1557,1459,1550,3356,0.030242605516782983,-0.1657559198542805,0.04535637149028078,-0.39397715472481826
Urban Areas,1,4855675.0,674935.0,573,1459,744,3356,-0.324557421697685,-0.34365086994136307,-0.48672566371681414,-0.39397715472481826
Urban Areas,1,4855675.0,674945.0,397,686,497,2576,-0.15976331360946747,-0.2887259395050413,-0.23954372623574144,-0.5793991416309013
Urban Areas,1,4855675.0,674955.0,403,686,511,2576,-0.14619883040935672,-0.27250077857365307,-0.21920668058455114,-0.5793991416309013
Urban Areas,1,4855675.0,674965.0,514,988,571,2947,-0.2674791533033996,-0.3941398865784499,-0.4010900929785188,-0.49783989834815756
Urban Areas,1,4855675.0,674975.0,529,988,623,2947,-0.22656734947237742,-0.3530663571290385,-0.33974557865342847,-0.49783989834815756
Agricultural Areas,2,4855675.0,674985.0,557,1113,701,2728,-0.22712238147739802,-0.32162373145979706,-0.3405896941306145,-0.4204634209841187
