Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Forests and semi-natural areas,3,4951195.0,697435.0,511,1014,595,3182,-0.2604101926662523,-0.3678665496049166,-0.39049394221808015,-0.5166825548141086
Forests and semi-natural areas,3,4951195.0,697445.0,573,1139,600,3293,-0.3099482461184589,-0.4294820717131474,-0.4647887323943662,-0.48601083032490977
Forests and semi-natural areas,3,4951195.0,697455.0,726,1139,704,3293,-0.23602821486706457,-0.5193409742120344,-0.35394629780309195,-0.48601083032490977
Forests and semi-natural areas,3,4951195.0,697465.0,681,1125,637,2904,-0.27695800227014755,-0.5349704012278009,-0.4153191489361702,-0.4415487714072971
Forests and semi-natural areas,3,4951195.0,697475.0,548,1125,550,2904,-0.34328358208955223,-0.45048574114697587,-0.5147717099373321,-0.4415487714072971
Forests and semi-natural areas,3,4951195.0,697485.0,473,934,476,2368,-0.324822695035461,-0.4519439510558516,-0.4870613257710032,-0.434282253179891
Forests and semi-natural areas,3,4951195.0,697495.0,468,934,481,2368,-0.3201413427561837,-0.4396350931677019,-0.4800423878488167,-0.434282253179891
Forests and semi-natural areas,3,4951195.0,697505.0,454,867,441,2015,-0.3256880733944954,-0.47565877623939257,-0.48834543370271305,-0.3983344899375434
Forests and semi-natural areas,3,4951195.0,697515.0,498,867,432,2015,-0.3348729792147806,-0.5723684210526315,-0.5021161985378992,-0.3983344899375434
Forests and semi-natural areas,3,4951195.0,697525.0,486,749,452,1770,-0.2472939217318901,-0.5702764976958525,-0.3707865168539326,-0.4053195712584359
Forests and semi-natural areas,3,4951195.0,697535.0,428,749,440,1770,-0.25988225399495374,-0.44782608695652176,-0.3896595208070618,-0.4053195712584359
Forests and semi-natural areas,3,4951195.0,697545.0,370,663,358,1610,-0.2987267384916748,-0.4881562099871959,-0.447870778267254,-0.41663000439947206
Urban Areas,1,4951195.0,697555.0,388,663,367,1610,-0.287378640776699,-0.5153203342618384,-0.43085880640465796,-0.41663000439947206
Urban Areas,1,4951195.0,697565.0,377,565,389,1147,-0.18448637316561844,-0.46194225721784776,-0.27658459926663176,-0.3399532710280374
Urban Areas,1,4951195.0,697575.0,370,565,381,1147,-0.1945031712473573,-0.46138415245737213,-0.29160063391442154,-0.3399532710280374
Urban Areas,1,4951195.0,697585.0,409,459,421,767,-0.04318181818181818,-0.8755760368663594,-0.06473594548551959,-0.25122349102773245
Urban Areas,1,4951195.0,697595.0,387,459,401,767,-0.06744186046511629,-0.571992110453649,-0.1011040092969204,-0.25122349102773245
Urban Areas,1,4951195.0,697605.0,234,425,281,941,-0.20396600566572237,-0.3342618384401114,-0.3057324840764331,-0.37774524158125916
Urban Areas,1,4951195.0,697615.0,239,425,253,941,-0.2536873156342183,-0.4251112209589718,-0.3802505526897568,-0.37774524158125916
Urban Areas,1,4951195.0,697625.0,301,612,276,1346,-0.3783783783783784,-0.4966006503103754,-0.5672481710748453,-0.3748723186925434
Forests and semi-natural areas,3,4951195.0,697635.0,423,612,371,1346,-0.2451678535096643,-0.6913367756741251,-0.3675648195221149,-0.3748723186925434
Forests and semi-natural areas,3,4951195.0,697645.0,614,889,531,2228,-0.252112676056338,-0.7097541633624108,-0.3780359028511088,-0.42957972409367984
Agricultural Areas,2,4951185.0,697335.0,212,777,313,2981,-0.42568807339449544,-0.34258712344949793,-0.6382393397524071,-0.5864821713677488
Agricultural Areas,2,4951185.0,697345.0,265,776,347,2813,-0.38201246660730187,-0.35554450522128295,-0.5727636849132176,-0.5675675675675675
Agricultural Areas,2,4951185.0,697355.0,306,776,417,2813,-0.30092204526404026,-0.3229578985246492,-0.4511939673229996,-0.5675675675675675
Agricultural Areas,2,4951185.0,697365.0,303,977,509,3374,-0.3149394347240915,-0.2854006586169045,-0.4722502522704339,-0.5509078372787864
Agricultural Areas,2,4951185.0,697375.0,342,977,582,3374,-0.25336754329698524,-0.2545103092783505,-0.3799294645719782,-0.5509078372787864
Agricultural Areas,2,4951185.0,697385.0,373,909,637,3509,-0.1759379042690815,-0.2064046137501897,-0.2638215324927255,-0.5885015844273427
Agricultural Areas,2,4951185.0,697395.0,375,909,610,3509,-0.1968400263331139,-0.22982321291314373,-0.29516288252714706,-0.5885015844273427
Agricultural Areas,2,4951185.0,697405.0,308,870,401,1864,-0.3690007867820614,-0.3540157004830918,-0.5532835233975619,-0.3635698610095099
Urban Areas,1,4951185.0,697415.0,530,870,581,1864,-0.19917298414886286,-0.39545703338806787,-0.2986565621770582,-0.3635698610095099
Urban Areas,1,4951185.0,697425.0,670,1014,793,3182,-0.1223021582733813,-0.2981651376146789,-0.183402489626556,-0.5166825548141086
Agricultural Areas,2,4951185.0,697435.0,422,1014,547,3182,-0.299167200512492,-0.3367464666858956,-0.44860710854947167,-0.5166825548141086
Agricultural Areas,2,4951185.0,697445.0,469,1139,602,3293,-0.3084434233199311,-0.3425181783390739,-0.4625322997416021,-0.48601083032490977
Agricultural Areas,2,4951185.0,697455.0,619,1139,669,3293,-0.25995575221238937,-0.41062379870697185,-0.38982582250483827,-0.48601083032490977
Forests and semi-natural areas,3,4951185.0,697465.0,694,1125,707,2904,-0.22816593886462883,-0.4638260097647581,-0.3421555252387449,-0.4415487714072971
Forests and semi-natural areas,3,4951185.0,697475.0,649,1125,635,2904,-0.2784090909090909,-0.48640063529878896,-0.41749502982107356,-0.4415487714072971
Forests and semi-natural areas,3,4951185.0,697485.0,590,934,534,2368,-0.2724795640326976,-0.5834305717619603,-0.40858018386108275,-0.434282253179891
Forests and semi-natural areas,3,4951185.0,697495.0,458,934,482,2368,-0.3192090395480226,-0.42609351432880843,-0.47864454641722554,-0.434282253179891
Forests and semi-natural areas,3,4951185.0,697505.0,493,867,442,2015,-0.3246753246753247,-0.5455712451861361,-0.4868270332187858,-0.3983344899375434
Forests and semi-natural areas,3,4951185.0,697515.0,588,867,473,2015,-0.29402985074626864,-0.778041074249605,-0.44088026855650875,-0.3983344899375434
Forests and semi-natural areas,3,4951185.0,697525.0,538,749,488,1770,-0.21099434114793855,-0.6882911392405063,-0.31636363636363635,-0.4053195712584359
Forests and semi-natural areas,3,4951185.0,697535.0,466,749,446,1770,-0.2535564853556485,-0.5238589211618258,-0.38017565872020076,-0.4053195712584359
Forests and semi-natural areas,3,4951185.0,697545.0,375,663,387,1610,-0.26285714285714284,-0.4441583521081429,-0.3940980485483103,-0.41663000439947206
Forests and semi-natural areas,3,4951185.0,697555.0,424,663,423,1610,-0.22099447513812154,-0.4909983633387889,-0.33133916244822825,-0.41663000439947206
Urban Areas,1,4951185.0,697565.0,320,565,343,1147,-0.2444933920704846,-0.4160419790104948,-0.36653824986241057,-0.3399532710280374
Urban Areas,1,4951185.0,697575.0,246,565,272,1147,-0.35005973715651134,-0.4029152915291529,-0.5247761194029851,-0.3399532710280374
Urban Areas,1,4951185.0,697585.0,262,459,254,767,-0.28751753155680226,-0.49090038314176243,-0.4309740714786265,-0.25122349102773245
Urban Areas,1,4951185.0,697595.0,271,459,210,767,-0.3721973094170404,-0.6675603217158177,-0.5578790141896938,-0.25122349102773245
Urban Areas,1,4951185.0,697605.0,206,425,255,941,-0.25,-0.3370340999206979,-0.3747244673034533,-0.37774524158125916
Urban Areas,1,4951185.0,697615.0,313,425,330,941,-0.12582781456953643,-0.4451733833177132,-0.1886168100595632,-0.37774524158125916
